Name,Review,SkuInfo,Date,StarCount
c***.,Item received in good condition Good product quality  😃👍👍👍Recommended,Color:White,14 Apr 2022,5
chan K.,Delivery time  is acceptable. Price is very reasonable. Not for medical use. It is made in China not Korea,Color Family:Grey,05 Apr 2022,5
T***.,"Product received in good condition. 
Product packaging are good.",Color Family:White-50PCS,17 Aug 2022,5
W***.,"received with thanks, quality not thick enough compare to others brands",Color Family:White-50PCS,10 Jul 2023,5
T***.,Delivery is considered slow. But arrived in good condition and good quality,Color Family:White-50PCS,11 Jun 2023,5
Iswaran M.,Memang selalu guna jenis ni..stok dah habis..kena beli sbb kadang x sihat.,Color Family:White-50PCS,29 Jun 2022,5
Yan E.,item received in good condition.. we will repeat order. thank you seller...,Color Family:Black-50PCS,29 Aug 2023,5
Yan E.,"The goods have been received, thank you seller 😊😊",Color Family:Black-50PCS,29 Aug 2023,5
A***.,"The goods have been received, thank you seller 😊😊",Color Family:White-50PCS,15 Aug 2022,5
Chee Y.,Received,Color Family:White-50PCS,22 Jul 2023,5
P***.,"fast delivery, items received in good condition with right order.",Color Family:Black-50PCS,20 Jul 2023,5
Chan E.,"Good quality, patient seller, great service, will order again",Color Family:White-50PCS,06 Jul 2023,5
Tang C.,"Terima kasih banyak, perkhidmatan ini bagus dan penghantarannya cepat",Color Family:White-50PCS,24 Jun 2023,5
E***e,goods received in order. string length is ok. comfortable to wear.,Color Family:Grey-50PCS,19 Jun 2023,5
K***.,fast delivery. its non medical mask. quality is ok. 4 layers.,Color Family:Black-50PCS,09 Jun 2023,5
Lee L.,"Received in good condition
Received with thanks
Thank you Seller",Color Family:White-50PCS,09 Jul 2022,5
KaniSK,"Great design, love it!, The KF94 mask provides excellent protection.,",Color Family:Dark blue-50PCS,15 Jun 2024,5
W***.,收到货了，谢谢卖家👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Color Family:Black-50PCS,18 Oct 2023,5
*******588,ok.,Color Family:Matcha-50PCS,07 Sep 2023,5
Rebecca T.,good😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,Color Family:White-50PCS,05 Jul 2023,5
Hor L.,Fast delivery and the items was received in good condition.,Color Family:Grey-50PCS,2  weeks ago,5
Lok M.,"The KF94 mask provides excellent protection.,",Color Family:White-50PCS,27 Sep 2023,5
Abd A.,Sederhana je.,Color Family:Black-50PCS,26 Sep 2023,4
Wendyteo,gd,Color Family:White-50PCS,25 Sep 2023,5
*******588,good 👍,Color Family:Dark blue-50PCS,07 Sep 2023,5
Lee F.,"fast delivery, received in good condition",Color Family:Matcha-50PCS,24 Jul 2023,5
ChangMF,Nice. was in pack of 10. totally worth it,Color Family:Black-50PCS,07 Jun 2023,5
Theresa T.,Very fast delivery and price is valued for money.,Color Family:Grey-50PCS,21 May 2024,5
Loong I.,"Safety arrived and fast deliver, tq",Color Family:White-50PCS,17 Aug 2023,5
J***.,good,Color Family:Black-50PCS,11 Jun 2023,5
Vivian H.,fast delivery! quality looks ok too,Color Family:White-50PCS,28 Jul 2023,5
Muhammad A.,received,Color Family:White-50PCS,11 Aug 2023,5
moon L.,received in good order. 👍,Color Family:Grey-50PCS,02 Aug 2023,5
Ng S.,Fast delivery,Color Family:White-50PCS,21 Jun 2023,5
*******270,good,Color Family:Black-50PCS,21 Jun 2023,5
1***9,good,Color Family:Black-50PCS,19 Jun 2023,5
L***h,fast delivery,Color Family:Black-50PCS,01 Apr 2022,5
Surina J.,"The KF94 mask provides excellent protection.,",Color Family:Black-50PCS,10 May 2024,5
********245,What do you think of the quality and appearance? Quality very thin and comfy. A bit of unpleasant odor.,Color Family:Black-50PCS,15 Apr 2023,5
Kew,I already received from order 50pcs X 2=100pc today but not 100 pcs. only 90 pcs. so sad to order in Lazada next time.,Color Family:White-50PCS,31 Jan 2024,5
Cheah I.,The item have received which packed nicely. This mask comfortable to wear. Thank you Lazada for prompt delivery,Color Family:White-50PCS,27 Apr 2024,5
erwan S.,worth buying......can repeat with this seller,Color Family:Grey-50PCS,04 May 2024,5
C***.,tima kasih...face mask da smpi da...cepat betul penghantaran...pembungkusanpn kemas...terbaikkkk👍👍👍👍👍👍🥰🥰🥰,Color Family:Black-50PCS,17 Jan 2024,3
Loh W.,"It’s okay,  it gives some for of protection,  although realise that the a quite thin .  Delivery took forever ,  almost a month.   Did not respond to chats.  

Overall just good Allie for money",Color Family:White-50PCS,10 Jun 2024,5
V***.,"Fast shipment and item received in excellent condition!! Excellent seller, highly recommended!!",Color Family:Black-50PCS,16 Jul 2023,5
h***a,barang diterima dalam keadaan baik...mask pun selesa di pakai terbaik...recomended boleh repeat order thank q seller.,Color Family:Grey,19 Mar 2022,5
h***a,I like this shop very much. The masks given are of very good quality. Thank the seller I like this shop very much. The masks given are of very good quality. Thank the seller,Color Family:Grey,19 Mar 2022,5
h***a,I really like the masks given by this shop and they are of very good quality. I bought all the styles I like from their house. Perfect for children. They fit my 8 year old kid. Adult kf94 and kn95 are also very comfortable to wear and exactly as advertised. 5 Layer Authentication! ! ! thanks seller,Color Family:Grey,19 Mar 2022,5
sujitra,,Color Family:White-50PCS,11 Oct 2023,5
m***.,I have purchased with this seller for several times! The quality is good!,Color Family:Grey-50PCS,06 Mar 2024,5
I***h,"Great design, love it!,",Color Family:Black-50PCS,04 Mar 2023,5
Theresa T.,"Received in a good condition 
Quite thin but its okay 
Thankyou",Color Family:Black-50PCS,28 Feb 2024,5
onewan K.,mask received..fast delivery and quality is ok lah ..boleh pakai jet. thanks 😊,Color Family:Black-50PCS,14 Jul 2023,4
芬 洪.,quality sungguh puas hati penghantaran pun cepat sampai terima kasih seller,Color Family:Black-50PCS,25 Apr 2023,5
omar,barang sampai dalam keadaan baik tq seller,Color Family:Black-50PCS,04 Apr 2024,5
Theresa T.,The item just received today which packed neat.  The mask same as per advertised and comfortable to wear. Thank you Lazada for prompt delivery.,Color Family:White-50PCS,26 Nov 2023,5
Chung M.,"The KF94 mask provides excellent protection., Great design, love it!,",Color Family:White-50PCS,1  week ago,5
Tan K.,fast delivery! value for money! recommended! everything is fine,Color Family:White-50PCS,16 Jun 2023,5
J***.,Good product quality good value for money fast delivery good,Color Family:Black-50PCS,10 Dec 2023,5
Alice C.,"Thomas's are thinner than the ones l ordered before.  Other than that, everything seems fine.",Color Family:White-50PCS,15 Jul 2023,5
1***5,Barang sudah sampai 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Color Family:Dark blue-50PCS,14 Jul 2023,5
Theresa T.,"Thanks seller and Lazada,.. delivery very fast... product also good,.. always repeat order... Recommended",Color Family:Black-50PCS,02 Nov 2023,5
ching W.,the item is received in good condition and exactly the same as described in the page and will purchase again in future,Color Family:White-50PCS,03 Dec 2023,5
lee B.,"The KF94 mask provides excellent protection., Great design, love it!,",Color Family:White-50PCS,16 Dec 2023,5
Yap C.,口罩质量非常好 发货速度快 到货速度也很快🥰🥰🥰🥰值得购买,Color Family:Black-50PCS,06 May 2023,5
h***o,fast delivery，quality OK，tq for the nice gift,Color Family:Black-50PCS,13 Dec 2023,5
1***6,"Good quality product.Recieved in good condition.All the while had been using  this brand, like it as there are many colours to choose from.",Color Family:White-50PCS,08 Oct 2023,5
Theresa T.,good,Color Family:Grey-50PCS,04 Oct 2023,5
0***6,"Thanks seller,.. good product and service very fast... again,,,, again repeat order 👌 Recommended",Color Family:White-50PCS,04 Apr 2023,5
Chris C.,Got it. Packing no so good this time. It broke but the items inside is OK and actually gave us more. Thank you.,Color Family:Black-50PCS,26 Sep 2023,5
1***6,Got it. Packing no so good this time. It broke but the items inside is OK and actually gave us more. Thank you.,Color Family:White-50PCS,11 Oct 2023,5
Chung M.,Quality and appearance are good with reasonable price.Had been repeating orders many times.,Color Family:Rose Gold-50PCS,1  week ago,5
D***D,Ordered for the third time The seller's service is very good The quality of the masks is very good The price is very good,Color Family:Grey,20 Mar 2022,5
